image_filename,cluster_index,grid_path,grid_rows,grid_cols,box_x1,box_y1,box_y2,box_x2,center_x,center_y
dot_font_random_1.png,0,grid_7x5_cluster0_dot_font_random_1.png,7,5,40,40,280,200,120.0,160.0
dot_font_random_1.png,1,grid_7x5_cluster1_dot_font_random_1.png,7,5,280,40,280,440,360.0,160.0
dot_font_random_1.png,2,grid_7x5_cluster2_dot_font_random_1.png,7,5,560,40,280,640,600.0,160.0
dot_font_random_1.png,3,grid_7x5_cluster3_dot_font_random_1.png,7,5,760,40,280,920,840.0,160.0
dot_font_random_1.png,4,grid_7x5_cluster4_dot_font_random_1.png,7,5,1000,40,280,1160,1080.0,160.0
dot_font_random_1.png,5,grid_7x5_cluster5_dot_font_random_1.png,7,5,1240,40,280,1400,1320.0,160.0
dot_font_random_10.png,0,grid_7x5_cluster0_dot_font_random_10.png,7,5,40,40,280,200,120.0,160.0
dot_font_random_10.png,1,grid_7x5_cluster1_dot_font_random_10.png,7,5,280,40,280,440,360.0,160.0
dot_font_random_10.png,2,grid_7x5_cluster2_dot_font_random_10.png,7,5,520,40,280,680,600.0,160.0
dot_font_random_10.png,3,grid_7x5_cluster3_dot_font_random_10.png,7,5,760,40,280,920,840.0,160.0
dot_font_random_10.png,4,grid_7x5_cluster4_dot_font_random_10.png,7,5,1000,40,280,1160,1080.0,160.0
dot_font_random_10.png,5,grid_7x5_cluster5_dot_font_random_10.png,7,5,1240,40,280,1400,1320.0,160.0
dot_font_random_100.png,0,grid_7x5_cluster0_dot_font_random_100.png,7,5,40,40,280,200,120.0,160.0
dot_font_random_100.png,1,grid_7x5_cluster1_dot_font_random_100.png,7,5,280,40,280,440,360.0,160.0
dot_font_random_100.png,2,grid_7x5_cluster2_dot_font_random_100.png,7,5,520,40,280,680,600.0,160.0
dot_font_random_100.png,3,grid_7x5_cluster3_dot_font_random_100.png,7,5,800,40,280,880,840.0,160.0
dot_font_random_100.png,4,grid_7x5_cluster4_dot_font_random_100.png,7,5,1000,40,280,1160,1080.0,160.0
dot_font_random_100.png,5,grid_7x5_cluster5_dot_font_random_100.png,7,5,1240,40,280,1400,1320.0,160.0
dot_font_random_11.png,0,grid_7x5_cluster0_dot_font_random_11.png,7,5,40,40,280,200,120.0,160.0
